step,split,episode_id,branch_idx,branch_date,outcome,test_episode_id
7,train,3,1378,1998-10-12,recovery,25
7,train,4,1636,1999-10-20,recovery,25
7,train,5,1763,2000-04-24,mixed,25
7,train,6,1889,2000-10-20,mixed,25
7,train,7,1909,2000-11-17,relapse,25
7,train,8,1936,2000-12-28,mixed,25
7,train,9,1981,2001-03-06,relapse,25
7,train,10,2006,2001-04-10,recovery,25
7,train,11,2119,2001-09-26,recovery,25
7,train,12,2309,2002-06-28,relapse,25
7,train,13,2331,2002-07-31,mixed,25
7,train,14,2359,2002-09-10,relapse,25
7,train,15,2383,2002-10-14,mixed,25
7,train,16,2427,2002-12-16,relapse,25
7,train,17,2458,2003-01-31,relapse,25
7,train,18,3602,2007-08-17,recovery,25
7,train,19,3712,2008-01-25,mixed,25
7,train,20,3836,2008-07-23,relapse,25
7,train,21,3880,2008-09-24,relapse,25
7,train,22,3900,2008-10-22,mixed,25
7,train,23,3926,2008-11-28,mixed,25
7,train,24,3947,2008-12-30,relapse,25
7,test,25,3999,2009-03-17,recovery,25
8,train,1,996,1997-04-07,recovery,26
8,train,2,1335,1998-08-11,relapse,26
8,train,3,1378,1998-10-12,recovery,26
8,train,4,1636,1999-10-20,recovery,26
8,train,5,1763,2000-04-24,mixed,26
8,train,6,1889,2000-10-20,mixed,26
8,train,7,1909,2000-11-17,relapse,26
8,train,8,1936,2000-12-28,mixed,26
8,train,9,1981,2001-03-06,relapse,26
8,train,10,2006,2001-04-10,recovery,26
8,train,11,2119,2001-09-26,recovery,26
8,train,12,2309,2002-06-28,relapse,26
8,train,13,2331,2002-07-31,mixed,26
8,train,14,2359,2002-09-10,relapse,26
8,train,15,2383,2002-10-14,mixed,26
8,train,16,2427,2002-12-16,relapse,26
8,train,17,2458,2003-01-31,relapse,26
8,train,18,3602,2007-08-17,recovery,26
8,train,19,3712,2008-01-25,mixed,26
8,train,20,3836,2008-07-23,relapse,26
8,train,21,3880,2008-09-24,relapse,26
8,train,22,3900,2008-10-22,mixed,26
8,train,23,3926,2008-11-28,mixed,26
8,train,24,3947,2008-12-30,relapse,26
8,train,25,3999,2009-03-17,recovery,26
8,test,26,4228,2010-02-11,recovery,26
9,train,1,996,1997-04-07,recovery,27
9,train,2,1335,1998-08-11,relapse,27
9,train,3,1378,1998-10-12,recovery,27
9,train,4,1636,1999-10-20,recovery,27
9,train,5,1763,2000-04-24,mixed,27
9,train,6,1889,2000-10-20,mixed,27
9,train,7,1909,2000-11-17,relapse,27
9,train,8,1936,2000-12-28,mixed,27
9,train,9,1981,2001-03-06,relapse,27
9,train,10,2006,2001-04-10,recovery,27
9,train,11,2119,2001-09-26,recovery,27
9,train,12,2309,2002-06-28,relapse,27
9,train,13,2331,2002-07-31,mixed,27
9,train,14,2359,2002-09-10,relapse,27
9,train,15,2383,2002-10-14,mixed,27
9,train,16,2427,2002-12-16,relapse,27
9,train,17,2458,2003-01-31,relapse,27
9,train,18,3602,2007-08-17,recovery,27
9,train,19,3712,2008-01-25,mixed,27
9,train,20,3836,2008-07-23,relapse,27
9,train,21,3880,2008-09-24,relapse,27
9,train,22,3900,2008-10-22,mixed,27
9,train,23,3926,2008-11-28,mixed,27
9,train,24,3947,2008-12-30,relapse,27
9,train,25,3999,2009-03-17,recovery,27
9,train,26,4228,2010-02-11,recovery,27
9,test,27,4301,2010-05-27,mixed,27
10,train,1,996,1997-04-07,recovery,28
10,train,2,1335,1998-08-11,relapse,28
10,train,3,1378,1998-10-12,recovery,28
10,train,4,1636,1999-10-20,recovery,28
10,train,5,1763,2000-04-24,mixed,28
10,train,6,1889,2000-10-20,mixed,28
10,train,7,1909,2000-11-17,relapse,28
10,train,8,1936,2000-12-28,mixed,28
10,train,9,1981,2001-03-06,relapse,28
10,train,10,2006,2001-04-10,recovery,28
10,train,11,2119,2001-09-26,recovery,28
10,train,12,2309,2002-06-28,relapse,28
10,train,13,2331,2002-07-31,mixed,28
10,train,14,2359,2002-09-10,relapse,28
10,train,15,2383,2002-10-14,mixed,28
10,train,16,2427,2002-12-16,relapse,28
10,train,17,2458,2003-01-31,relapse,28
10,train,18,3602,2007-08-17,recovery,28
10,train,19,3712,2008-01-25,mixed,28
10,train,20,3836,2008-07-23,relapse,28
10,train,21,3880,2008-09-24,relapse,28
10,train,22,3900,2008-10-22,mixed,28
10,train,23,3926,2008-11-28,mixed,28
10,train,24,3947,2008-12-30,relapse,28
10,train,25,3999,2009-03-17,recovery,28
10,train,26,4228,2010-02-11,recovery,28
10,test,28,4328,2010-07-07,mixed,28
11,train,1,996,1997-04-07,recovery,29
11,train,2,1335,1998-08-11,relapse,29
11,train,3,1378,1998-10-12,recovery,29
11,train,4,1636,1999-10-20,recovery,29
11,train,5,1763,2000-04-24,mixed,29
11,train,6,1889,2000-10-20,mixed,29
11,train,7,1909,2000-11-17,relapse,29
11,train,8,1936,2000-12-28,mixed,29
11,train,9,1981,2001-03-06,relapse,29
11,train,10,2006,2001-04-10,recovery,29
11,train,11,2119,2001-09-26,recovery,29
11,train,12,2309,2002-06-28,relapse,29
11,train,13,2331,2002-07-31,mixed,29
11,train,14,2359,2002-09-10,relapse,29
11,train,15,2383,2002-10-14,mixed,29
11,train,16,2427,2002-12-16,relapse,29
11,train,17,2458,2003-01-31,relapse,29
11,train,18,3602,2007-08-17,recovery,29
11,train,19,3712,2008-01-25,mixed,29
11,train,20,3836,2008-07-23,relapse,29
11,train,21,3880,2008-09-24,relapse,29
11,train,22,3900,2008-10-22,mixed,29
11,train,23,3926,2008-11-28,mixed,29
11,train,24,3947,2008-12-30,relapse,29
11,train,25,3999,2009-03-17,recovery,29
11,train,26,4228,2010-02-11,recovery,29
11,train,27,4301,2010-05-27,mixed,29
11,train,28,4328,2010-07-07,mixed,29
11,test,29,4608,2011-08-15,mixed,29
12,train,1,996,1997-04-07,recovery,30
12,train,2,1335,1998-08-11,relapse,30
12,train,3,1378,1998-10-12,recovery,30
12,train,4,1636,1999-10-20,recovery,30
12,train,5,1763,2000-04-24,mixed,30
12,train,6,1889,2000-10-20,mixed,30
12,train,7,1909,2000-11-17,relapse,30
12,train,8,1936,2000-12-28,mixed,30
12,train,9,1981,2001-03-06,relapse,30
12,train,10,2006,2001-04-10,recovery,30
12,train,11,2119,2001-09-26,recovery,30
12,train,12,2309,2002-06-28,relapse,30
12,train,13,2331,2002-07-31,mixed,30
12,train,14,2359,2002-09-10,relapse,30
12,train,15,2383,2002-10-14,mixed,30
12,train,16,2427,2002-12-16,relapse,30
12,train,17,2458,2003-01-31,relapse,30
12,train,18,3602,2007-08-17,recovery,30
12,train,19,3712,2008-01-25,mixed,30
12,train,20,3836,2008-07-23,relapse,30
12,train,21,3880,2008-09-24,relapse,30
12,train,22,3900,2008-10-22,mixed,30
12,train,23,3926,2008-11-28,mixed,30
12,train,24,3947,2008-12-30,relapse,30
12,train,25,3999,2009-03-17,recovery,30
12,train,26,4228,2010-02-11,recovery,30
12,train,27,4301,2010-05-27,mixed,30
12,train,28,4328,2010-07-07,mixed,30
12,test,30,4628,2011-09-13,recovery,30
13,train,1,996,1997-04-07,recovery,31
13,train,2,1335,1998-08-11,relapse,31
13,train,3,1378,1998-10-12,recovery,31
13,train,4,1636,1999-10-20,recovery,31
13,train,5,1763,2000-04-24,mixed,31
13,train,6,1889,2000-10-20,mixed,31
13,train,7,1909,2000-11-17,relapse,31
13,train,8,1936,2000-12-28,mixed,31
13,train,9,1981,2001-03-06,relapse,31
13,train,10,2006,2001-04-10,recovery,31
13,train,11,2119,2001-09-26,recovery,31
13,train,12,2309,2002-06-28,relapse,31
13,train,13,2331,2002-07-31,mixed,31
13,train,14,2359,2002-09-10,relapse,31
13,train,15,2383,2002-10-14,mixed,31
13,train,16,2427,2002-12-16,relapse,31
13,train,17,2458,2003-01-31,relapse,31
13,train,18,3602,2007-08-17,recovery,31
13,train,19,3712,2008-01-25,mixed,31
13,train,20,3836,2008-07-23,relapse,31
13,train,21,3880,2008-09-24,relapse,31
13,train,22,3900,2008-10-22,mixed,31
13,train,23,3926,2008-11-28,mixed,31
13,train,24,3947,2008-12-30,relapse,31
13,train,25,3999,2009-03-17,recovery,31
13,train,26,4228,2010-02-11,recovery,31
13,train,27,4301,2010-05-27,mixed,31
13,train,28,4328,2010-07-07,mixed,31
13,test,31,4648,2011-10-11,mixed,31
14,train,1,996,1997-04-07,recovery,32
14,train,2,1335,1998-08-11,relapse,32
14,train,3,1378,1998-10-12,recovery,32
14,train,4,1636,1999-10-20,recovery,32
14,train,5,1763,2000-04-24,mixed,32
14,train,6,1889,2000-10-20,mixed,32
14,train,7,1909,2000-11-17,relapse,32
14,train,8,1936,2000-12-28,mixed,32
14,train,9,1981,2001-03-06,relapse,32
14,train,10,2006,2001-04-10,recovery,32
14,train,11,2119,2001-09-26,recovery,32
14,train,12,2309,2002-06-28,relapse,32
14,train,13,2331,2002-07-31,mixed,32
14,train,14,2359,2002-09-10,relapse,32
14,train,15,2383,2002-10-14,mixed,32
14,train,16,2427,2002-12-16,relapse,32
14,train,17,2458,2003-01-31,relapse,32
14,train,18,3602,2007-08-17,recovery,32
14,train,19,3712,2008-01-25,mixed,32
14,train,20,3836,2008-07-23,relapse,32
14,train,21,3880,2008-09-24,relapse,32
14,train,22,3900,2008-10-22,mixed,32
14,train,23,3926,2008-11-28,mixed,32
14,train,24,3947,2008-12-30,relapse,32
14,train,25,3999,2009-03-17,recovery,32
14,train,26,4228,2010-02-11,recovery,32
14,train,27,4301,2010-05-27,mixed,32
14,train,28,4328,2010-07-07,mixed,32
14,train,29,4608,2011-08-15,mixed,32
14,train,30,4628,2011-09-13,recovery,32
14,test,32,4682,2011-11-29,recovery,32
15,train,1,996,1997-04-07,recovery,33
15,train,2,1335,1998-08-11,relapse,33
15,train,3,1378,1998-10-12,recovery,33
15,train,4,1636,1999-10-20,recovery,33
15,train,5,1763,2000-04-24,mixed,33
15,train,6,1889,2000-10-20,mixed,33
15,train,7,1909,2000-11-17,relapse,33
15,train,8,1936,2000-12-28,mixed,33
15,train,9,1981,2001-03-06,relapse,33
15,train,10,2006,2001-04-10,recovery,33
15,train,11,2119,2001-09-26,recovery,33
15,train,12,2309,2002-06-28,relapse,33
15,train,13,2331,2002-07-31,mixed,33
15,train,14,2359,2002-09-10,relapse,33
15,train,15,2383,2002-10-14,mixed,33
15,train,16,2427,2002-12-16,relapse,33
15,train,17,2458,2003-01-31,relapse,33
15,train,18,3602,2007-08-17,recovery,33
15,train,19,3712,2008-01-25,mixed,33
15,train,20,3836,2008-07-23,relapse,33
15,train,21,3880,2008-09-24,relapse,33
15,train,22,3900,2008-10-22,mixed,33
15,train,23,3926,2008-11-28,mixed,33
15,train,24,3947,2008-12-30,relapse,33
15,train,25,3999,2009-03-17,recovery,33
15,train,26,4228,2010-02-11,recovery,33
15,train,27,4301,2010-05-27,mixed,33
15,train,28,4328,2010-07-07,mixed,33
15,train,29,4608,2011-08-15,mixed,33
15,train,30,4628,2011-09-13,recovery,33
15,train,31,4648,2011-10-11,mixed,33
15,train,32,4682,2011-11-29,recovery,33
15,test,33,5625,2015-08-31,mixed,33
16,train,1,996,1997-04-07,recovery,34
16,train,2,1335,1998-08-11,relapse,34
16,train,3,1378,1998-10-12,recovery,34
16,train,4,1636,1999-10-20,recovery,34
16,train,5,1763,2000-04-24,mixed,34
16,train,6,1889,2000-10-20,mixed,34
16,train,7,1909,2000-11-17,relapse,34
16,train,8,1936,2000-12-28,mixed,34
16,train,9,1981,2001-03-06,relapse,34
16,train,10,2006,2001-04-10,recovery,34
16,train,11,2119,2001-09-26,recovery,34
16,train,12,2309,2002-06-28,relapse,34
16,train,13,2331,2002-07-31,mixed,34
16,train,14,2359,2002-09-10,relapse,34
16,train,15,2383,2002-10-14,mixed,34
16,train,16,2427,2002-12-16,relapse,34
16,train,17,2458,2003-01-31,relapse,34
16,train,18,3602,2007-08-17,recovery,34
16,train,19,3712,2008-01-25,mixed,34
16,train,20,3836,2008-07-23,relapse,34
16,train,21,3880,2008-09-24,relapse,34
16,train,22,3900,2008-10-22,mixed,34
16,train,23,3926,2008-11-28,mixed,34
16,train,24,3947,2008-12-30,relapse,34
16,train,25,3999,2009-03-17,recovery,34
16,train,26,4228,2010-02-11,recovery,34
16,train,27,4301,2010-05-27,mixed,34
16,train,28,4328,2010-07-07,mixed,34
16,train,29,4608,2011-08-15,mixed,34
16,train,30,4628,2011-09-13,recovery,34
16,train,31,4648,2011-10-11,mixed,34
16,train,32,4682,2011-11-29,recovery,34
16,train,33,5625,2015-08-31,mixed,34
16,test,34,5725,2016-01-25,recovery,34
17,train,1,996,1997-04-07,recovery,35
17,train,2,1335,1998-08-11,relapse,35
17,train,3,1378,1998-10-12,recovery,35
17,train,4,1636,1999-10-20,recovery,35
17,train,5,1763,2000-04-24,mixed,35
17,train,6,1889,2000-10-20,mixed,35
17,train,7,1909,2000-11-17,relapse,35
17,train,8,1936,2000-12-28,mixed,35
17,train,9,1981,2001-03-06,relapse,35
17,train,10,2006,2001-04-10,recovery,35
17,train,11,2119,2001-09-26,recovery,35
17,train,12,2309,2002-06-28,relapse,35
17,train,13,2331,2002-07-31,mixed,35
17,train,14,2359,2002-09-10,relapse,35
17,train,15,2383,2002-10-14,mixed,35
17,train,16,2427,2002-12-16,relapse,35
17,train,17,2458,2003-01-31,relapse,35
17,train,18,3602,2007-08-17,recovery,35
17,train,19,3712,2008-01-25,mixed,35
17,train,20,3836,2008-07-23,relapse,35
17,train,21,3880,2008-09-24,relapse,35
17,train,22,3900,2008-10-22,mixed,35
17,train,23,3926,2008-11-28,mixed,35
17,train,24,3947,2008-12-30,relapse,35
17,train,25,3999,2009-03-17,recovery,35
17,train,26,4228,2010-02-11,recovery,35
17,train,27,4301,2010-05-27,mixed,35
17,train,28,4328,2010-07-07,mixed,35
17,train,29,4608,2011-08-15,mixed,35
17,train,30,4628,2011-09-13,recovery,35
17,train,31,4648,2011-10-11,mixed,35
17,train,32,4682,2011-11-29,recovery,35
17,train,33,5625,2015-08-31,mixed,35
17,train,34,5725,2016-01-25,recovery,35
17,test,35,6242,2018-02-12,mixed,35
18,train,1,996,1997-04-07,recovery,36
18,train,2,1335,1998-08-11,relapse,36
18,train,3,1378,1998-10-12,recovery,36
18,train,4,1636,1999-10-20,recovery,36
18,train,5,1763,2000-04-24,mixed,36
18,train,6,1889,2000-10-20,mixed,36
18,train,7,1909,2000-11-17,relapse,36
18,train,8,1936,2000-12-28,mixed,36
18,train,9,1981,2001-03-06,relapse,36
18,train,10,2006,2001-04-10,recovery,36
18,train,11,2119,2001-09-26,recovery,36
18,train,12,2309,2002-06-28,relapse,36
18,train,13,2331,2002-07-31,mixed,36
18,train,14,2359,2002-09-10,relapse,36
18,train,15,2383,2002-10-14,mixed,36
18,train,16,2427,2002-12-16,relapse,36
18,train,17,2458,2003-01-31,relapse,36
18,train,18,3602,2007-08-17,recovery,36
18,train,19,3712,2008-01-25,mixed,36
18,train,20,3836,2008-07-23,relapse,36
18,train,21,3880,2008-09-24,relapse,36
18,train,22,3900,2008-10-22,mixed,36
18,train,23,3926,2008-11-28,mixed,36
18,train,24,3947,2008-12-30,relapse,36
18,train,25,3999,2009-03-17,recovery,36
18,train,26,4228,2010-02-11,recovery,36
18,train,27,4301,2010-05-27,mixed,36
18,train,28,4328,2010-07-07,mixed,36
18,train,29,4608,2011-08-15,mixed,36
18,train,30,4628,2011-09-13,recovery,36
18,train,31,4648,2011-10-11,mixed,36
18,train,32,4682,2011-11-29,recovery,36
18,train,33,5625,2015-08-31,mixed,36
18,train,34,5725,2016-01-25,recovery,36
18,test,36,6277,2018-04-04,mixed,36
19,train,1,996,1997-04-07,recovery,37
19,train,2,1335,1998-08-11,relapse,37
19,train,3,1378,1998-10-12,recovery,37
19,train,4,1636,1999-10-20,recovery,37
19,train,5,1763,2000-04-24,mixed,37
19,train,6,1889,2000-10-20,mixed,37
19,train,7,1909,2000-11-17,relapse,37
19,train,8,1936,2000-12-28,mixed,37
19,train,9,1981,2001-03-06,relapse,37
19,train,10,2006,2001-04-10,recovery,37
19,train,11,2119,2001-09-26,recovery,37
19,train,12,2309,2002-06-28,relapse,37
19,train,13,2331,2002-07-31,mixed,37
19,train,14,2359,2002-09-10,relapse,37
19,train,15,2383,2002-10-14,mixed,37
19,train,16,2427,2002-12-16,relapse,37
19,train,17,2458,2003-01-31,relapse,37
19,train,18,3602,2007-08-17,recovery,37
19,train,19,3712,2008-01-25,mixed,37
19,train,20,3836,2008-07-23,relapse,37
19,train,21,3880,2008-09-24,relapse,37
19,train,22,3900,2008-10-22,mixed,37
19,train,23,3926,2008-11-28,mixed,37
19,train,24,3947,2008-12-30,relapse,37
19,train,25,3999,2009-03-17,recovery,37
19,train,26,4228,2010-02-11,recovery,37
19,train,27,4301,2010-05-27,mixed,37
19,train,28,4328,2010-07-07,mixed,37
19,train,29,4608,2011-08-15,mixed,37
19,train,30,4628,2011-09-13,recovery,37
19,train,31,4648,2011-10-11,mixed,37
19,train,32,4682,2011-11-29,recovery,37
19,train,33,5625,2015-08-31,mixed,37
19,train,34,5725,2016-01-25,recovery,37
19,train,35,6242,2018-02-12,mixed,37
19,train,36,6277,2018-04-04,mixed,37
19,test,37,6424,2018-10-31,relapse,37
20,train,1,996,1997-04-07,recovery,38
20,train,2,1335,1998-08-11,relapse,38
20,train,3,1378,1998-10-12,recovery,38
20,train,4,1636,1999-10-20,recovery,38
20,train,5,1763,2000-04-24,mixed,38
20,train,6,1889,2000-10-20,mixed,38
20,train,7,1909,2000-11-17,relapse,38
20,train,8,1936,2000-12-28,mixed,38
20,train,9,1981,2001-03-06,relapse,38
20,train,10,2006,2001-04-10,recovery,38
20,train,11,2119,2001-09-26,recovery,38
20,train,12,2309,2002-06-28,relapse,38
20,train,13,2331,2002-07-31,mixed,38
20,train,14,2359,2002-09-10,relapse,38
20,train,15,2383,2002-10-14,mixed,38
20,train,16,2427,2002-12-16,relapse,38
20,train,17,2458,2003-01-31,relapse,38
20,train,18,3602,2007-08-17,recovery,38
20,train,19,3712,2008-01-25,mixed,38
20,train,20,3836,2008-07-23,relapse,38
20,train,21,3880,2008-09-24,relapse,38
20,train,22,3900,2008-10-22,mixed,38
20,train,23,3926,2008-11-28,mixed,38
20,train,24,3947,2008-12-30,relapse,38
20,train,25,3999,2009-03-17,recovery,38
20,train,26,4228,2010-02-11,recovery,38
20,train,27,4301,2010-05-27,mixed,38
20,train,28,4328,2010-07-07,mixed,38
20,train,29,4608,2011-08-15,mixed,38
20,train,30,4628,2011-09-13,recovery,38
20,train,31,4648,2011-10-11,mixed,38
20,train,32,4682,2011-11-29,recovery,38
20,train,33,5625,2015-08-31,mixed,38
20,train,34,5725,2016-01-25,recovery,38
20,train,35,6242,2018-02-12,mixed,38
20,train,36,6277,2018-04-04,mixed,38
20,train,37,6424,2018-10-31,relapse,38
20,test,38,6467,2019-01-04,recovery,38
21,train,1,996,1997-04-07,recovery,39
21,train,2,1335,1998-08-11,relapse,39
21,train,3,1378,1998-10-12,recovery,39
21,train,4,1636,1999-10-20,recovery,39
21,train,5,1763,2000-04-24,mixed,39
21,train,6,1889,2000-10-20,mixed,39
21,train,7,1909,2000-11-17,relapse,39
21,train,8,1936,2000-12-28,mixed,39
21,train,9,1981,2001-03-06,relapse,39
21,train,10,2006,2001-04-10,recovery,39
21,train,11,2119,2001-09-26,recovery,39
21,train,12,2309,2002-06-28,relapse,39
21,train,13,2331,2002-07-31,mixed,39
21,train,14,2359,2002-09-10,relapse,39
21,train,15,2383,2002-10-14,mixed,39
21,train,16,2427,2002-12-16,relapse,39
21,train,17,2458,2003-01-31,relapse,39
21,train,18,3602,2007-08-17,recovery,39
21,train,19,3712,2008-01-25,mixed,39
21,train,20,3836,2008-07-23,relapse,39
21,train,21,3880,2008-09-24,relapse,39
21,train,22,3900,2008-10-22,mixed,39
21,train,23,3926,2008-11-28,mixed,39
21,train,24,3947,2008-12-30,relapse,39
21,train,25,3999,2009-03-17,recovery,39
21,train,26,4228,2010-02-11,recovery,39
21,train,27,4301,2010-05-27,mixed,39
21,train,28,4328,2010-07-07,mixed,39
21,train,29,4608,2011-08-15,mixed,39
21,train,30,4628,2011-09-13,recovery,39
21,train,31,4648,2011-10-11,mixed,39
21,train,32,4682,2011-11-29,recovery,39
21,train,33,5625,2015-08-31,mixed,39
21,train,34,5725,2016-01-25,recovery,39
21,train,35,6242,2018-02-12,mixed,39
21,train,36,6277,2018-04-04,mixed,39
21,train,37,6424,2018-10-31,relapse,39
21,train,38,6467,2019-01-04,recovery,39
21,test,39,6774,2020-03-25,mixed,39
22,train,1,996,1997-04-07,recovery,40
22,train,2,1335,1998-08-11,relapse,40
22,train,3,1378,1998-10-12,recovery,40
22,train,4,1636,1999-10-20,recovery,40
22,train,5,1763,2000-04-24,mixed,40
22,train,6,1889,2000-10-20,mixed,40
22,train,7,1909,2000-11-17,relapse,40
22,train,8,1936,2000-12-28,mixed,40
22,train,9,1981,2001-03-06,relapse,40
22,train,10,2006,2001-04-10,recovery,40
22,train,11,2119,2001-09-26,recovery,40
22,train,12,2309,2002-06-28,relapse,40
22,train,13,2331,2002-07-31,mixed,40
22,train,14,2359,2002-09-10,relapse,40
22,train,15,2383,2002-10-14,mixed,40
22,train,16,2427,2002-12-16,relapse,40
22,train,17,2458,2003-01-31,relapse,40
22,train,18,3602,2007-08-17,recovery,40
22,train,19,3712,2008-01-25,mixed,40
22,train,20,3836,2008-07-23,relapse,40
22,train,21,3880,2008-09-24,relapse,40
22,train,22,3900,2008-10-22,mixed,40
22,train,23,3926,2008-11-28,mixed,40
22,train,24,3947,2008-12-30,relapse,40
22,train,25,3999,2009-03-17,recovery,40
22,train,26,4228,2010-02-11,recovery,40
22,train,27,4301,2010-05-27,mixed,40
22,train,28,4328,2010-07-07,mixed,40
22,train,29,4608,2011-08-15,mixed,40
22,train,30,4628,2011-09-13,recovery,40
22,train,31,4648,2011-10-11,mixed,40
22,train,32,4682,2011-11-29,recovery,40
22,train,33,5625,2015-08-31,mixed,40
22,train,34,5725,2016-01-25,recovery,40
